full_name,age,minutes_played_overall,appearances_overall,goals_overall,assists_overall,penalty_goals,penalty_misses,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,min_per_goal_overall,cards_per_90_overall,min_per_match,min_per_assist_overall,rank_in_league_top_attackers,target_attribute
Aaron Cresswell,32,1589,20,0,1,0,0,1,0,0.06,0.06,0,0,0.06,79,1589,290,0
Aaron Lennon,35,1217,16,1,1,0,0,1,0,0.15,0.07,0.07,1217,0.07,76,1217,196,1
Aaron Mooy,31,2327,29,1,1,1,0,4,0,0.15,0.04,0.12,776,0.15,80,2327,144,2
Aaron Ramsey,31,1327,28,2,6,0,0,0,0,0.68,0.41,0.27,332,0,47,221,69,2
Aaron Rowe,22,69,2,0,0,0,0,0,0,0,0,0,0,0,35,0,-1,0
Aaron Wan-Bissaka,24,3135,35,0,3,0,0,5,1,0.09,0.09,0,0,0.17,90,1045,312,0
Abdelhamid Sabiri,25,49,2,0,0,0,0,0,0,0,0,0,0,0,25,0,-1,0
Abdoulaye Doucouré,29,3062,35,3,6,0,0,7,0,0.32,0.18,0.15,612,0.21,87,510,124,2
Aboubakar Kamara,27,687,13,1,0,1,1,2,0,0.39,0,0.39,229,0.26,53,0,38,2
Adam David Lallana,34,465,13,0,0,0,0,1,0,0,0,0,0,0.19,36,0,379,0
Adam Masina,28,1003,14,0,1,0,0,5,0,0.09,0.09,0,0,0.45,72,1003,397,0
Adam Smith,31,2073,25,1,1,0,0,6,1,0.09,0.04,0.04,2073,0.3,83,2073,227,1
Adama Diakhaby,26,551,12,0,0,0,0,1,0,0,0,0,0,0.16,46,0,332,0
Adama Traoré Diarra,26,890,29,0,1,0,0,1,0,0.2,0.1,0.1,890,0.1,31,890,160,0
Ademola Lookman,24,601,21,0,2,0,0,0,0,0.3,0.3,0,0,0,29,301,292,0
Adrian Mariappa,35,1921,26,0,0,0,0,3,0,0,0,0,0,0.14,74,0,396,0
Adrián San Miguel del Castillo,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Adrien Sebastian Perruchet Silva,33,88,2,0,0,0,0,0,0,0,0,0,0,0,44,0,-1,0
Ainsley Maitland-Niles,25,985,16,0,1,0,0,3,1,0.18,0.09,0.09,985,0.27,62,985,174,0
Alberto Moreno,30,155,2,0,0,0,0,0,0,0,0,0,0,0,78,0,-1,0
Aleksandar Mitrović,27,3282,37,8,3,1,0,7,0,0.38,0.08,0.3,298,0.19,89,1094,62,2
Alex Iwobi,26,1972,35,1,6,0,0,0,0,0.41,0.27,0.14,657,0,56,329,128,1
Alex McCarthy,32,2250,25,0,0,0,0,1,0,0,0,0,0,0.04,90,0,372,0
Alex Oxlade-Chamberlain,29,19,2,0,0,0,0,0,0,0,0,0,0,0,10,0,-1,0
Alex Pritchard,29,2092,30,1,0,0,0,2,0,0.09,0,0.09,1046,0.09,70,0,171,2
Alex Smithies,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Alexander Sørloth,26,173,12,0,0,0,0,0,0,0,0,0,0,0,14,0,-1,0
Alexandre Lacazette,31,2503,35,9,8,0,0,2,0,0.76,0.29,0.47,193,0.07,72,313,21,2
Alexandre Nascimento Costa Silva,25,17,1,0,0,0,0,0,0,0,0,0,0,0,17,0,-1,0
Alexis Sanchez,33,877,20,1,3,0,0,3,0,0.41,0.31,0.1,877,0.31,44,292,166,1
Alfie Jones,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Alfie Mawson,28,1131,15,0,0,0,0,2,0,0,0,0,0,0.16,75,0,307,0
Alfie Whiteman,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
